,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
AnonymousPro,35.3017874575,36.5978508279,26.4189202753,50.884254498,50.3054221867,31.7824043362,28.3919928991,25.7333717068,29.0497769816,34.2843832109,31.9089157925,73.4685306441,73.0828373813,19.2336635516,67.1866422114,27.7491443904,41.7437317258,44.8678480694,46.7070533332,69.8908477556,51.3188169557,37.0856767591,74.6243978968,40.2540040992,61.4301575316,9.21194217902,38.7702454067,28.0098190211,65.9198457047,76.9665279637,70.9546850887
ArchivoNarrow-Regular,33.693723732,24.3378752497,34.2886977713,75.2488710642,57.8628113159,3.72809519066,53.5128171139,23.8808042339,20.7562337069,41.0222264937,36.1840775424,82.0022114294,74.0058718964,30.23835542,69.8508193914,30.8095524824,63.5736639814,51.407209554,40.4375823361,68.4694178923,40.0479565644,14.7719707855,77.9880883376,7.75845614682,47.3322982598,16.3313385441,34.388290426,19.0596221097,56.7523533366,78.1588295661,71.2216834727
ArialRoundedMTBold,33.2406627844,36.4233569532,24.4349031122,52.0703368944,75.5359237434,29.0540018284,67.1257007588,54.3896155393,26.0139030432,55.8367153836,23.753431961,59.6532107796,81.5679989075,45.5313034322,60.8033603006,36.8902163477,71.3735058094,44.6492835571,65.4106408736,98.4413776163,48.1764550517,24.1052341844,88.4021342261,21.3149211154,35.5159574928,31.0684727769,37.4052305948,37.6217175301,42.9520290337,89.1346432251,58.4086842727
ArialUnicodeMS,23.009654406,27.625124738,0.0,53.4090234765,78.0454488814,5.53178009693,52.6660166448,29.4672088896,5.52531894673,46.8132566874,19.3998199857,82.3486788673,85.4625864419,37.6833304513,90.259591457,14.3150831683,64.5102752489,42.3319833513,50.5039612143,84.1448848933,46.6311734171,24.1115389068,77.7918063153,20.131822598,60.5371324659,30.4763678173,10.7580523482,0.0,50.584111915,87.6904590363,64.4052365178
Arimo-Bold,38.3634934363,27.8877174075,23.2336012992,43.9219470121,73.0650900177,30.5602052967,76.2919599615,60.2559984826,13.5098632357,54.8963611713,24.666184982,55.7373417746,70.1016870373,32.5292059855,90.5683949532,19.5533603168,64.9240661107,27.746137935,57.0419212533,79.1190921948,53.9893668843,26.8043331932,79.8505348665,15.5087469866,52.7826823724,48.6460459153,23.7943126723,25.7246182291,36.1755042359,90.3200141328,51.2964352619
Arimo-BoldItalic,53.1157193729,27.9505659069,27.3077312253,52.0515529905,73.9358768,56.7926395097,68.5978722658,51.7198045165,31.2168288905,56.6971586865,37.0821964033,66.9135438769,76.0137683746,53.6541777653,82.5160306002,46.3832811086,82.5559413856,42.9389201947,63.6946479629,52.6029769485,56.2374909332,30.3538486864,78.0660205015,35.3453091804,31.8888108317,50.3971938191,20.8130103499,47.2384947494,42.3893562442,94.2161165834,48.1326649767
Arizonia-Regular,71.2084210815,81.6972505303,71.5658783424,59.0421003318,91.4415046574,77.8096242278,27.2172028673,43.3412834463,87.4451592148,65.4422208655,92.3779252756,65.4557103757,69.2984675008,68.4578931937,30.9576590269,95.1121930758,53.5348712222,64.8868559437,88.3153316613,30.601744128,29.5042510923,74.9215037981,84.084336338,81.9235762574,22.5193692618,54.701091536,67.4410807509,92.5649141274,66.1171372248,71.9234569508,70.949477198
Arvo-Bold,35.2977919436,38.766037733,38.4836240058,50.6361418507,65.2431524926,34.5697080332,76.324429314,62.7166701666,47.5449122913,70.0234881819,55.9899724084,52.9287862104,64.6074675981,40.3173256287,63.8819003796,29.7345849997,84.8757105368,35.0081227569,61.7990716557,77.8908872614,57.6303192574,30.9786284094,72.664815851,65.5053762069,54.8585659559,45.9917096536,22.6712571346,54.6944978088,34.180979185,78.9488235884,49.0869884025
Arvo-BoldItalic,52.3565606238,46.403066026,57.6436962373,43.7767500482,74.0314947672,70.0696062025,81.5157094612,62.3342282502,56.6766440643,68.2032059722,68.0778134351,49.0753089401,65.8433429564,40.4275064881,72.752873252,64.7315997443,81.5519493748,35.5915260298,62.009801398,49.3569279582,53.2555834944,49.5355251376,76.0346786433,67.6728192134,46.9044267708,62.336020816,39.7894845356,65.5513959372,41.1449296921,75.2130412042,29.7246959443
Arvo-Italic,48.0437941009,62.6633845973,43.4525782499,86.4078520405,69.078586471,100.0,55.7869700827,48.9086760714,54.4912389369,64.6530350185,38.4821094713,67.2757720896,70.281053959,56.0290538358,72.5663441672,57.6181959949,58.3929084515,47.5794406932,61.7042108932,68.617367264,54.1798953125,31.2966616819,72.3354269759,77.4997268582,30.4974992949,39.7480867263,52.4463602956,36.8007545848,45.3810932818,90.5559354925,58.314564155
Asap-Regular,28.1096932071,27.2036156766,13.5895724057,85.0379180734,56.7451173107,40.5937442599,54.6046427166,15.3768096039,14.2033653368,47.717764031,33.3226337132,71.0611174124,73.4237393557,33.0578458654,73.1115577812,19.4777004607,67.5001107778,48.7777808893,59.2462283588,74.0536546091,48.3360468811,30.3451760654,83.9823099334,20.8776543876,61.6149588315,29.2830285667,18.9078472564,24.5136697931,52.9231897257,79.8795622015,63.8545593334
Asset,20.024123828,33.1747509303,73.0457006715,0.972091918841,20.6809541562,31.650190963,74.188885897,38.0100116632,42.0979780781,26.843488747,78.0741214895,0.0,15.1579018678,3.04753836239,0.302079076369,51.7369145162,66.3657014857,4.89209658238,20.4968033076,34.3014717201,65.5410722718,66.0602819074,31.8186347181,13.2469706696,72.2954815469,35.7850081352,84.5306816945,52.5713290552,0.0,25.7672840318,19.7434136471
Astloch-Bold,67.0740275811,93.1576378619,85.3335106797,31.8454032116,39.8701837246,48.2466155185,34.3420888492,62.4175864859,87.8029794158,42.1138055423,89.029138759,34.0871603617,41.6583764314,37.3394901506,15.8602504824,80.3700654716,48.3464850462,39.2889176324,53.3456704597,14.3510455443,39.5368802083,100.0,42.7510303029,65.4307165581,72.0344916676,44.89467182,87.9714445386,86.1637775926,52.161898164,47.4841634843,50.4365201387
AveriaLibre-LightItalic,48.1356861432,53.7544214722,30.9815119832,56.2410726859,76.6165763852,79.3440874256,38.4731494142,38.0065277514,39.9603504572,59.5562178887,44.7604209304,80.3281726526,87.3147050255,64.4452568643,69.6412829983,50.3122864428,53.4158350706,50.7872224376,60.0469351175,56.3603700314,44.2953096603,50.8156375927,79.449167628,64.2738834536,32.2323981366,42.8974362194,32.3246146207,44.4746871255,64.9110826365,83.4339446449,87.1730259466
AveriaSansLibre-Italic,28.9950719881,55.5078398803,31.9582828592,61.8022246561,83.4858165161,56.0077801,55.6854595153,41.1466727791,36.8324595729,52.4894855233,38.7617645722,76.7846866661,85.1898127312,50.4381815868,57.0031294253,52.9530076911,71.8552519373,58.2673097467,60.5546494228,58.5880355924,45.9586259848,30.1636085958,91.7898139914,67.2092334322,48.9423820495,41.0560236405,23.6976531349,51.8749808559,57.2467808908,78.4483473995,77.4368073262
AveriaSerifLibre-Italic,66.2199721043,56.9520597306,35.4854530543,75.3077994224,89.2415316755,66.1049997147,45.5134216222,41.2532020763,54.4954443064,65.0478603077,39.1506093703,81.7832876033,94.0509287038,54.0585061196,80.4217951932,61.4723293964,74.5896126156,67.6067186254,73.6362762525,68.053259911,47.2431489486,32.5577322009,100.0,59.3081720807,28.5720476885,33.1793129946,20.5577820802,62.6779241147,56.6349992325,93.8353858552,83.914765723
BadScript-Regular,62.3266128187,95.3113994186,61.1869204352,79.4461049921,88.0361553904,89.0002763945,18.0968744859,49.8369486588,68.5471969619,64.6895781736,57.8163761562,74.7726347881,89.9857352942,64.4037744661,47.1808676816,88.8962165485,62.2749458077,63.7642773027,68.9612481309,38.3092581952,44.0301073642,56.8396477218,78.0587348631,64.8090997495,15.3287302459,43.0458956662,46.8816793841,87.7441502555,73.2221906435,70.0590260299,80.5373227908
Bello-Pro,70.5710315148,72.2654839308,79.2928387699,36.4152790492,69.4458717281,59.3089599974,52.1868177078,56.4307217382,99.589314196,53.0672050157,74.1629902298,41.2261224481,71.195399269,51.4881075408,23.7719945252,77.3053577328,81.6299820701,59.7697710946,65.9553534596,37.9760824531,39.6720688894,87.0138558588,51.4431148121,46.0993674724,59.4178805209,73.923803016,60.7477761048,74.8157408897,33.3222100142,63.8034518457,40.4650071737
BenchNine-Regular,9.143675511,30.0681154691,19.533525869,67.9622642835,53.6768672108,49.8002452901,41.82055009,25.8498863694,31.3493007645,26.7072570841,40.4837081164,84.7853437664,62.1364566416,41.3545494629,50.430400161,39.3079790991,35.8071104933,52.4709532445,56.0762774537,69.4458507967,30.7895284906,33.5847177846,84.4726831175,30.0851898129,82.9845800442,27.1171450931,40.897975285,26.4998593073,59.4803384438,68.4399656254,65.7847071788
Bentham-Regular,38.4900574374,34.6172714978,22.2965767429,70.1458474424,56.0782613311,31.1641646552,40.0246201574,32.1431574162,29.1387154394,34.1944498992,41.3839862666,76.1479871167,77.7381431232,39.4235518736,82.1895803287,28.5567446985,56.3868894388,52.5771604356,49.3572527756,98.1774735925,44.9824866183,10.9291815358,96.6007227004,47.3711354326,29.9796023012,29.0179252287,32.4801005063,38.8358499554,60.6000219989,83.1769131765,77.1418317888
Bevan,29.7142722264,25.0056676946,56.2454847527,41.0920715457,51.8497744341,42.1809516629,94.7695504765,63.5038538053,47.7898287496,57.367866091,45.3571427859,49.5597055792,59.4785490042,38.0937927505,59.2360093594,28.1895462386,68.4738662991,22.4819010004,42.3849645211,49.6310758151,56.9610344707,34.2082765822,62.0490547082,48.6533603016,66.6312097021,51.7800088175,40.2673262409,53.2803741116,38.0098711997,72.9635190028,33.1154302357
BilboSwashCaps-Regular,83.9902739752,66.0468998999,56.3194394048,70.2905842285,68.6706814227,97.4089823857,25.9266310428,38.8598851798,96.3908361075,68.9407713198,83.0813355967,59.8041626936,75.9203697482,62.8918867577,27.7462091204,74.0246036692,51.4879320677,68.4584208755,72.100215267,42.9921159348,30.8928625457,52.0218544438,76.4750886741,87.5218904599,23.9179513259,62.0146537425,52.9911143116,79.9570578155,70.0926058131,71.210292675,70.4945753933
BlackOpsOne-Regular,76.1822545782,63.1345343402,51.0849037798,54.6462479387,59.4901538965,22.0425681832,72.7297368387,78.6703340283,52.8440410774,68.6171026089,70.2784773347,45.0045459791,52.122504735,38.801460884,32.3777569767,38.8559253511,90.1989342735,27.4750704562,56.6936802806,16.0036169793,60.3333033233,70.5275134841,65.2469526732,78.1414541552,68.009836353,71.0807927879,56.4571573238,64.9495270715,3.71976803852,72.1301649918,24.8300725164
BowlbyOneSC-Regular,4.08056942113,21.7587012286,46.0880737049,57.4232366309,42.9411064225,22.2282603192,100.0,83.2784539638,20.2887762438,43.4636295757,49.9358801748,39.6801999725,35.8360994429,39.042769415,51.3107040062,22.1130173973,64.6925589622,0.0,53.9983553793,49.4397107741,66.8538258777,31.8536942275,54.9114474362,80.9987667373,68.7235657386,61.7467047776,58.7959710955,51.693572529,25.8146141058,56.6978298397,2.28567832789
Brevia-Regular,33.2403898657,52.8202420606,28.6422073149,59.1179466639,57.2548758884,49.7012128729,41.010522716,21.3947824579,33.2588530129,18.8678336364,39.9441089487,72.1677925444,72.3283795267,43.1780762759,37.897770653,33.736507013,36.494272424,44.8143791513,47.9144249045,39.9990178287,51.9286599061,52.5455160448,66.0498351346,39.7141867151,45.3513954145,16.7707074182,51.6588336791,27.5296523523,59.4943876005,77.1517896244,67.6197132838
BubblerOne,55.6021982281,53.2261694334,58.9645661992,55.1074531097,53.1821353865,48.1663083499,25.3530465899,18.613715773,62.2335944837,28.8796260133,51.5174276552,83.6750246635,70.1998341099,46.8530135596,46.6881485576,47.6191514288,57.0467260087,45.980812098,47.9677038749,51.2621452317,39.1360148087,53.2455786023,82.3147908331,42.6683000879,70.6054333721,27.8912113873,55.6507950247,48.9427370214,80.5548027939,70.5537092991,90.5163972443
Buenard-Bold,42.5306489883,44.4264861356,2.20107394234,80.3745778714,74.1548886468,15.5993914348,65.5926090905,70.3147128836,34.514142284,70.1404576662,37.9631528164,60.7092167349,62.0777333091,48.8692515129,77.0220179321,34.4774118301,75.1149241054,42.0674835343,60.3333920485,84.3275576551,46.556368778,18.5227514837,92.0202534066,45.0122647901,11.7775238938,51.0123368881,12.1712444913,26.9088843381,45.3567697258,95.3230620629,56.8638501109
Cabin-SemiBoldItalic,53.6548734858,43.2424383575,15.2580611041,59.8064981181,76.0824502604,69.4761821076,58.9520001578,59.1128376556,33.0135747009,59.1432670065,34.9332596692,71.9667815145,74.8846861576,46.3737168956,85.4993095909,55.4672525467,58.4058885895,50.7062968246,66.3700577689,72.7307269717,44.449864446,30.0070214975,81.1959697974,40.5569600403,31.0907691918,39.8512489614,27.8239872268,49.3611458983,46.2790706636,93.6614627882,67.6404838388
CabinCondensed,15.2015607953,24.0729979706,32.4359801026,72.7557368062,58.0412277481,15.2064510925,50.4858466807,39.9644003871,6.27450116687,40.6872156423,30.9456400179,75.216011196,82.1888398585,41.029688397,66.829881967,21.76851247,65.9287322119,45.5293247395,62.8258724433,73.0029986585,41.4402849774,36.2167656346,89.8866887633,31.3853954554,67.7243387971,18.588214423,32.6407355692,23.592612457,53.9139062164,73.7198561138,65.1733025506
CabinCondensed-Medium,20.942907688,19.6451354385,27.6939714266,52.6700095809,72.1422460289,12.3241360873,61.84799392,48.3034658078,24.5810165225,47.2281304433,25.9221157226,72.0411081954,74.6591628258,48.3858515634,78.5516930791,0.0,55.1691856089,49.1057811508,58.4736485547,74.8292201281,44.6041268273,22.1715546618,81.1296042527,24.3659811406,59.7882161118,22.7870289639,14.899445651,10.8479049565,50.7677968835,89.8772523345,61.8978865993
Calluna-Regular,30.4930775484,23.8749604255,22.4314573884,86.9607480211,60.2842620765,47.6382036678,40.2128782583,23.8771745053,26.0391950668,44.1322539245,32.4674262774,79.1879900951,82.2721950766,28.7251243322,78.350487458,22.8174873979,36.6478239974,52.0017578845,55.7335757634,89.5083660754,44.2160863164,24.2437965715,72.5794692672,27.8066115761,51.0051586466,26.894577815,19.9164669485,18.9609082899,55.3583403197,94.19322085,69.0189356234
Cantarell-BoldOblique,58.9435581411,55.0536163047,34.3744829706,65.1486797083,67.0088738831,87.7584836227,63.0575149437,70.8030610226,50.5915811618,61.7340591156,65.5171010576,60.9236417776,71.4197629303,65.5297660012,62.5799926878,72.552340136,74.9274569651,51.9813142911,63.5270857902,40.3242317934,54.4425604851,50.7060819028,78.4034551033,46.3264950617,31.837063271,57.0349709097,41.5606946576,69.1440176224,44.0673338271,79.9407069676,55.454362393
CantoraOne-Regular,49.1405592819,34.9879380731,20.82645039,58.6688883566,74.4126648564,28.0823488017,67.3876396045,45.864704372,45.3419293144,58.5993520203,42.9858688033,71.6707252116,78.292322901,53.6918761189,70.775885428,29.1097372537,73.560268947,34.0247245075,68.1664849632,74.7133616194,46.34377993,34.1090764099,73.8877455511,42.9371298734,45.3386012698,63.5201592973,39.7091286332,49.2713708173,41.8222741078,76.6867248598,55.8810042006
Cardo-Italic,65.9159331024,60.3105019805,37.438792015,98.770026493,79.2347280219,91.5128473052,38.8030584684,57.2414918564,81.6581999014,67.4005720627,49.4934904172,73.9312987277,79.807923984,75.8148135188,77.8814175753,56.6032535991,67.7232674826,80.7936784836,74.7023978505,48.8379464629,42.1630774054,43.1940137901,90.8191524876,71.658746123,36.3948932979,45.6592273354,33.2468362473,59.9262419231,73.3804985095,76.8505662877,74.5138184266
CenturyGothic,28.0357942738,28.9968978647,22.7351286217,82.822804804,32.8887926933,32.5003350201,37.2465405732,30.7643520469,13.6075742074,34.0151997954,27.3571858371,85.0550569266,65.4678107031,34.4445963815,70.0368228984,17.6600468661,61.4372970749,25.4121664543,25.8844265669,58.2885663928,51.0121777814,18.7209109023,78.5185400698,18.21813456,53.2756260993,20.6994967426,30.314516901,27.8939003266,60.6722635459,83.8148957185,84.4685447664
Chivo-Italic,46.5443238353,48.7749277543,33.7324304161,68.0574615438,67.0300842281,53.955410813,51.7802927987,42.1675828463,34.5396707468,38.0410404536,47.034368478,73.456206562,93.6931066893,70.1776261923,76.6731991535,52.65890547,69.3757026948,61.8214767432,55.9584397324,72.9268114589,50.9336592655,30.5369774536,87.5842542656,24.2183754081,44.6178614777,56.6113732973,23.5545321691,34.9090563065,51.2135721435,83.8168157127,57.1133101971
ClickerScript-Regular,59.4107489817,68.5461491907,66.0704518021,53.5331156199,66.2384184016,67.4296988301,10.5404559939,51.1730303273,68.5243693171,34.8529728379,91.2902152009,67.2438430263,70.3349900186,57.7345856896,25.477305166,71.9412929662,44.2729855744,70.0157015223,64.5717301283,35.3673711974,33.4621680155,81.1431572371,76.1244130019,55.3077979207,42.3572365115,52.3128349013,73.9980279235,79.7752488017,77.3554387237,67.3543556661,76.5082866548
CrimsonText-BoldItalic,72.2071453667,61.3616238086,48.5063349014,79.6138027401,94.502476029,69.7690192356,57.8005014888,76.1968400417,82.6911618019,76.6171181415,67.7099827216,70.6016145425,79.5343949885,78.0948415328,55.5260813021,61.9207684621,91.0856221054,49.1592956934,91.6553066172,63.9283956351,41.2764920887,37.0116579785,82.0815471589,73.6566594843,0.0,76.8712113,21.3167375592,69.1078387207,48.0090005614,90.8169997551,54.7855646511
CrimsonText-Semibold,46.2885047918,28.2708010479,21.6529595217,76.2332860442,69.7843145567,23.9392667942,57.2015209429,48.926262546,27.2308264541,58.5850351645,18.7179781733,74.559750958,85.692058433,65.5475428884,71.0834097546,31.3751286556,57.5196410144,54.9912329471,65.8197425026,80.6772577626,46.0098137854,0.0,89.0706385069,55.1313213774,53.8196832038,44.1049001067,0.668182564627,33.5953648458,50.1366025682,80.239175465,75.5336672378
Damion,71.2419552915,75.1710356613,67.8728138403,64.357397869,79.4564672119,71.4146252749,44.2874086786,69.3929216404,86.7156541831,67.4118078892,84.8999488786,58.1184302367,85.0090470656,52.251467528,34.4892617053,92.9309244901,72.3061149452,63.5257020809,83.0076535882,48.9002773607,36.2458316357,46.4059804149,73.2703611673,74.4368445755,41.0133360829,86.4674188511,39.7915863844,76.4024612699,54.4302296174,73.462930702,72.3077097614
Dosis-Light,33.866897479,16.3843175279,37.8717432357,63.88140562,55.4313962856,37.3512114923,32.2797230311,21.6380474048,14.225395328,25.2319535548,23.6600147723,89.3221093978,60.3625720823,34.7158566476,66.9174719185,30.0382460849,24.9780914193,51.4709125474,54.8372931615,69.1650702864,41.3398645658,23.5817498854,86.5934001754,30.7345055987,64.8602491293,20.1948002895,34.3004526439,17.4948549334,73.3495488754,74.372967264,91.8481834876
EagleLake-Regular,68.7867829376,62.2006841395,54.8359376169,46.4946276505,76.1028968755,78.2879256608,56.4436164914,68.4244398465,91.7544909946,73.8665627937,78.222083079,59.3554598005,87.4040160971,67.4688902297,59.966634825,75.8290793873,90.8000093841,46.9918825094,78.9600892428,33.6701333007,60.8553849234,56.5670981765,85.9019870437,67.0411961742,30.6761966468,78.668160512,46.1940792828,68.5075652205,46.5282165423,72.442170823,62.0070902917
Economica-Italic,68.3832761456,39.2572238609,43.5203371495,58.627832177,46.6493809969,75.4237535063,36.0476270758,34.9051643506,52.5881387496,27.783373017,54.8971587867,71.1500799633,57.5248111824,28.02424847,48.8957827407,69.247976708,16.665134047,50.7597062316,60.9866985051,43.1277800095,33.9064159624,34.1244272102,72.5454230834,43.2344863247,52.2708529879,19.6815668756,50.3898794731,47.5220186123,68.184559738,68.0752369696,79.1330763112
EmblemaOne-Regular,68.8558747526,71.5652069592,76.9212807544,56.0182838824,67.4525266342,50.5446939503,78.7638368546,74.8969950581,66.969584642,52.2289490339,75.9669565286,37.7634910379,58.8897249717,36.6205318989,42.3698515524,63.2559257694,90.1486156372,35.4313417229,59.0721201457,35.0359392696,60.1880260489,62.1847075506,67.0953855089,60.6546451241,62.4038805207,72.4674915281,55.5843192335,70.7402939647,30.7090581806,74.0615399547,24.7800331951
Enriqueta-Regular,33.8275181545,26.0006259809,8.59732313175,86.3369884418,76.2263710775,27.7829014354,48.2299185863,44.8058694338,12.7949168978,58.7141198018,30.5370144543,80.3105152854,95.325554702,51.1997595773,77.849005721,5.61650969615,62.1035057901,43.0566003324,61.8514626626,100.0,50.2851724198,17.7255274178,84.5070414551,43.7245206898,27.1110099814,18.4169819114,0.0,20.1644396649,55.9235362867,90.796132639,62.5432754838
FanwoodText-Italic,51.3003706798,68.8608832994,28.2269598185,71.7895266124,72.9198835657,49.3741258841,46.4063864416,43.5776343058,47.9587326054,66.2899781677,52.5201630979,78.784848651,100.0,74.8235986347,71.0845875617,60.8598574995,64.5845552725,70.8091528101,84.5056831829,68.5485993854,39.8835304653,34.110152802,84.2621025815,37.9193847805,10.3552391045,45.1661521476,17.7158703352,48.6948064555,62.0043440896,79.7269749003,82.0102350494
Fenix,23.2239131376,29.3716061664,8.95865929536,86.1998780987,65.8773874723,32.1024264392,45.7138355507,33.9207930952,27.0811323904,52.7288248786,16.7830010979,81.8890184648,74.7028283911,45.899397316,67.4887454842,28.4810809641,64.2244579167,51.8363694648,51.8183078265,88.2053471907,44.680705008,12.4487672348,88.4268130474,45.8654016945,26.9093513636,18.3135576043,15.0353755046,25.9735208797,55.1661632143,96.7713469414,72.719722662
FingerPaint,52.170300122,100.0,99.1662421727,17.5993537502,45.4531626937,45.9061641704,48.8061538476,53.264661859,69.6566050988,42.7555092876,90.9745163078,32.5299559264,60.111361334,47.5061782734,5.10522408659,80.7068807307,64.9928134578,41.5481711805,46.2677454055,23.8901725323,57.4216628652,92.4322703869,48.7062409547,31.0107076344,73.4746537529,51.1999410815,95.1278530971,83.9847770128,47.2432903343,61.7836797249,42.247693428
FrancoisOne-Regular,23.160914198,30.2852430305,40.1782913256,58.6159610454,57.2500154395,15.0540113028,83.9060993787,59.7960074921,9.0685850665,39.6024673186,41.1461073862,58.7079049645,54.4759295727,63.1086376244,73.9838533566,6.25933239524,63.0245326929,33.9631013282,49.9185256539,70.6462932984,44.6784478706,22.9697190977,79.4381088846,51.5047117315,45.6824846558,50.106922089,32.9355329288,20.5606967141,37.5765157208,84.0538952672,31.8141297252
FredokaOne-Regular,41.4742736916,42.6358882628,44.1651431116,45.9147007901,58.599899078,1.38818878537,86.8354308044,64.0525791707,37.974482865,60.2671263678,62.9162547838,53.2987157656,69.2263927148,49.1222886407,54.0311495731,29.4658600083,70.0964663741,26.0253969581,56.0025294708,41.3351294143,57.1975217507,35.0171623704,67.587762672,32.5415226809,66.401724735,44.1333145177,46.8007968631,52.5711119466,4.08265075934,83.7078445728,38.5998511066
Frijole,54.2760348116,61.5911751067,80.19103913,11.3430741558,8.67767815583,29.6129753729,87.9729814936,72.2448957127,71.0528298343,71.7174772737,90.159041227,15.8300726689,44.5059962843,28.5946148474,25.8877558656,59.6732508581,94.3790940558,19.4499244382,36.1618090631,0.0,100.0,84.7493727578,40.5530859724,67.0558852882,55.2661235428,63.0631577983,89.4388262878,77.9640640398,4.85230494804,41.227211958,0.0
